The Lovers,2015,5,Josh Hartnett,James Stewart and Jay Fennel,Simone Kessell,Clara Coldstream,Tamsin Egerton,Laura Fennel,Alice Englert,Dolly,Bipasha Basu,Tulaja Naik
47 Ronin,2013,5,Keanu Reeves,Kai,Hiroyuki Sanada,Kuranosuke Ôishi,Kou Shibasaki,Mika,Tadanobu Asano,Lord Kira,Min Tanaka,Lord Asano
Captain America: The Winter Soldier,2014,5,Chris Evans,Steve Rogers and Captain America,Samuel L. Jackson,Nick Fury,Scarlett Johansson,Natasha Romanoff and Black Widow,Robert Redford,Alexander Pierce,Sebastian Stan,Bucky Barnes and Winter Soldier
Shrek Forever After,2010,5,Mike Myers,Shrek (voice),Eddie Murphy,Donkey (voice),Cameron Diaz,Princess Fiona (voice),Antonio Banderas,Puss in Boots (voice),Julie Andrews,Queen (voice)
Tomorrowland,2015,5,Britt Robertson,Casey Newton,George Clooney,Frank Walker,Raffey Cassidy,Athena,Thomas Robinson,Young Frank Walker,Hugh Laurie,David Nix
Big Hero 6,2014,5,Scott Adsit,Baymax (voice),Ryan Potter,Hiro Hamada (voice),Daniel Henney,Tadashi Hamada (voice),T.J. Miller,Fred (voice),Jamie Chung,GoGo Tomago (voice)
Wreck-It Ralph,2012,5,John C. Reilly,Wreck-It Ralph (voice),Sarah Silverman,Vanellope von Schweetz (voice),Jack McBrayer,Fix-It Felix (voice),Jane Lynch,Sergeant Calhoun (voice),Alan Tudyk,King Candy (voice)
The Polar Express,2004,5,Tom Hanks,Hero Boy and Father and Conductor and Hobo and Scrooge and Santa Claus (voice),Michael Jeter,Smokey and Steamer (voice),Nona Gaye,Hero Girl (voice),Peter Scolari,Lonely Boy Billy (voice),Eddie Deezen,Know-It-All (voice)
Independence Day: Resurgence,2016,5,Liam Hemsworth,Jake Morrison,Jeff Goldblum,David Levinson,Bill Pullman,President Whitmore,Maika Monroe,Patricia Whitmore,Sela Ward,President Lanford
How to Train Your Dragon,2010,5,Jay Baruchel,Hiccup,Gerard Butler,Stoick,Craig Ferguson,Gobber,America Ferrera,Astrid,Jonah Hill,Snotlout
Terminator 3: Rise of the Machines,2003,5,Arnold Schwarzenegger,The Terminator,Nick Stahl,John Connor,Claire Danes,Kate Brewster,Kristanna Loken,T-X,David Andrews,Robert Brewster
Guardians of the Galaxy,2014,5,Chris Pratt,Peter Quill and Star-Lord,Zoe Saldana,Gamora,Dave Bautista,Drax the Destroyer,Vin Diesel,Groot (voice),Bradley Cooper,Rocket  Raccoon (voice)
Interstellar,2014,5,Matthew McConaughey,Joseph Cooper,Jessica Chastain,Murph Cooper,Anne Hathaway,Dr. Amelia Brand,Michael Caine,Professor John Brand,Casey Affleck,Tom Cooper
Inception,2010,5,Leonardo DiCaprio,Dom Cobb,Joseph Gordon-Levitt,Arthur,Ellen Page,Ariadne,Tom Hardy,Eames,Ken Watanabe,Saito
Shin Godzilla,2016,5,Hiroki Hasegawa,Rando Yaguchi : Deputy Chief Cabinet Secretary,Yutaka Takenouchi,Hideki Akasaka : Special Advisor to the Prime Minister(National Security),Satomi Ishihara,Kayoko Ann Patterson : US special envoy,Kengo Kora,Yuseuke Shimura : Secretary of Rando,Matsuo Satoru,Syuichi Izumi : Policy Research Council Vice Chairman
